CFPC|005 CÓDIGO Federal de Procedimientos Civiles DOF 24/02/1943 ( Abrogado en un plazo que no exceda del 01/04/2027 ) Nueva declaratoria de inconstitucionalidad Notificación 17/06/2025 Sentencia SCJN
CJM|004 CÓDIGO de Justicia Militar DOF 31/08/1933 DOF 16/07/2025
CMPP|007 CÓDIGO Militar de Procedimientos Penales DOF 16/05/2016 Nueva reforma DOF 14/11/2025
CNPCF|008 CÓDIGO Nacional de Procedimientos Civiles y Familiares DOF 07/06/2023 Nueva reforma DOF 15/01/2026
CNPP|009 CÓDIGO Nacional de Procedimientos Penales DOF 05/03/2014 Nueva reforma DOF 28/11/2025
CPEUM|001 CONSTITUCIÓN Política de los Estados Unidos Mexicanos DOF 05/02/1917 DOF 15/10/2025
CPF|010 CÓDIGO Penal Federal DOF 14/08/1931 Nueva reforma DOF 28/11/2025
LAAM|022 LEY de Ascensos de la Armada de México DOF 25/06/2004 Nueva reforma DOF 17/12/2025
LAASSP|015 LEY de Adquisiciones, Arrendamientos y Servicios del Sector Público DOF 16/04/2025 Sin reforma
LAAT|028 LEY de Ayuda Alimentaria para los Trabajadores DOF 17/01/2011 Sin reforma
LAC|027 LEY de Aviación Civil DOF 12/05/1995 Nueva reforma DOF 14/11/2025
LACP|018 LEY de Ahorro y Crédito Popular DOF 04/06/2001 Nueva reforma DOF 14/11/2025
LAdua|013 LEY Aduanera DOF 15/12/1995 Nueva reforma DOF 27/12/2025
LAEM|290 LEY que crea la Agencia Espacial Mexicana DOF 30/07/2010 Sin reforma
LAero|016 LEY de Aeropuertos DOF 22/12/1995 Nueva reforma DOF 14/11/2025
LAgra|014 LEY Agraria DOF 26/02/1992 Nueva reforma DOF 14/11/2025
LAmn|019 LEY de Amnistía DOF 22/04/2020 DOF 14/06/2024
LAmp|021 LEY de Amparo, Reglamentaria de los artículos 103 y 107 de la Constitución Política de los Estados Unidos Mexicanos DOF 02/04/2013 DOF 16/10/2025
LAN|017 LEY de Aguas Nacionales DOF 01/12/1992 Nueva reforma DOF 11/12/2025
LANSI|065 LEY de la Agencia Nacional de Seguridad Industrial y de Protección al Medio Ambiente del Sector Hidrocarburos DOF 11/08/2014 DOF 11/05/2022
LAPP|025 LEY de Asociaciones Público Privadas DOF 16/01/2012 Nueva reforma DOF 14/11/2025
LARCP|026 LEY de Asociaciones Religiosas y Culto Público DOF 15/07/1992 Nueva reforma DOF 14/11/2025
LAREFAGN|023 LEY de Ascensos y Recompensas del Ejército, Fuerza Aérea y Guardia Nacional (Antes "Ley de Ascensos y Recompensas del Ejército y Fuerza Aérea Mexicanos" ) DOF 30/10/2003 DOF 16/07/2025
LASoc|024 LEY de Asistencia Social DOF 02/09/2004 DOF 01/04/2024
LBio|029 LEY de Biocombustibles DOF 18/03/2025 Sin reforma
LBOGM|030 LEY de Bioseguridad de Organismos Genéticamente Modificados DOF 18/03/2005 DOF 11/05/2022
LCACSEFAM|279 LEY para la Comprobación, Ajuste y Cómputo de Servicios en el Ejército y Fuerza Aérea Mexicanos DOF 09/02/2006 DOF 03/05/2024
LCCAIF|294 LEY que Establece Bases para la Ejecución en México, por el Poder Ejecutivo Federal, del Convenio Constitutivo de la Asociación Internacional de Fomento DOF 31/12/1960 DOF 06/06/2025
LCEC_120419|031 LEY de Cámaras Empresariales y sus Confederaciones DOF 20/01/2005 DOF 12/04/2019
LCF|039 LEY de Coordinación Fiscal DOF 27/12/1978 DOF 03/01/2024
LCID_061120|038 LEY de Cooperación Internacional para el Desarrollo DOF 06/04/2011 DOF 06/11/2020
LCJPJF|034 LEY de Carrera Judicial del Poder Judicial de la Federación DOF 02/01/2025 Sin reforma
LCM|036 LEY de Concursos Mercantiles DOF 12/05/2000 Nueva declaratoria de inconstitucionalidad DOF 16/01/2026 Sentencia SCJN
LCMM|066 LEY de la Casa de Moneda de México DOF 20/01/1986 DOF 11/05/2022
LCNBV|067 LEY de la Comisión Nacional Bancaria y de Valores DOF 28/04/1995 DOF 11/05/2022
LCNDH|069 LEY de la Comisión Nacional de los Derechos Humanos DOF 29/06/1992 DOF 01/04/2024
LCNE|068 LEY de la Comisión Nacional de Energía DOF 18/03/2025 Nueva declaratoria de invalidez DOF 26/12/2025 Sentencia SCJN
LCPAF|032 LEY de Caminos, Puentes y Autotransporte Federal DOF 22/12/1993 Nueva reforma DOF 14/11/2025
LDCMPME|274 LEY para el Desarrollo de la Competitividad de la Micro, Pequeña y Mediana Empresa DOF 30/12/2002 DOF 20/10/2023
LDEFAGN|043 LEY de Disciplina del Ejército, Fuerza Aérea y Guardia Nacional (Antes "Ley de Disciplina del Ejército y Fuerza Aérea Mexicanos" ) DOF 15/03/1926 DOF 16/07/2025
LDFEFM|044 LEY de Disciplina Financiera de las Entidades Federativas y los Municipios DOF 27/04/2016 DOF 10/05/2022
LDPAM|076 LEY de los Derechos de las Personas Adultas Mayores DOF 25/06/2002 DOF 14/06/2024
LDRS|040 LEY de Desarrollo Rural Sustentable DOF 07/12/2001 DOF 07/06/2024
LDSC|041 LEY de Desarrollo Sustentable de la Cafeticultura DOF 19/12/2025 Nueva Ley en vigor 17/06/2026 Sin reforma
LDSCA|042 LEY de Desarrollo Sustentable de la Caña de Azúcar DOF 22/08/2005 Nueva reforma DOF 14/11/2025
LDVUMA_301216|273 LEY para Determinar el Valor de la Unidad de Medida y Actualización DOF 30/12/2016 Sin reforma
LEBHN|308 LEY sobre el Escudo, la Bandera y el Himno Nacionales DOF 08/02/1984 DOF 21/07/2025
LEMEFAGN|046 LEY de Educación Militar del Ejército, Fuerza Aérea y Guardia Nacional (Antes "Ley de Educación Militar del Ejército y Fuerza Aérea Mexicanos" ) DOF 23/12/2005 DOF 16/07/2025
LEN|047 LEY de Educación Naval DOF 12/03/2019 DOF 24/03/2023
LEPECFE|071 LEY de la Empresa Pública del Estado, Comisión Federal de Electricidad DOF 18/03/2025 Sin reforma
LEPEPM|072 LEY de la Empresa Pública del Estado, Petróleos Mexicanos DOF 18/03/2025 Sin reforma
LESS|070 LEY de la Economía Social y Solidaria (Antes "Ley de la Economía Social y Solidaria, Reglamentaria del Párrafo Octavo del Artículo 25 de la Constitución Política de los Estados Unidos Mexicanos, e
LFAAR|056 LEY de Fondos de Aseguramiento Agropecuario y Rural DOF 13/05/2005 Nueva reforma DOF 14/11/2025
LFAEBSP|178 LEY Federal para la Administración y Enajenación de Bienes del Sector Público DOF 19/12/2002 DOF 30/04/2024
LFAFE|137 LEY Federal de Armas de Fuego y Explosivos DOF 11/01/1972 DOF 29/05/2025
LFAR|138 LEY Federal de Austeridad Republicana DOF 19/11/2019 DOF 16/04/2025
